ID,ra,dec,Angular size,experiment,Wavelength 1,Wavelength 2,Processed by:,"Notes (Bluer region, nice looking, clear data etc)",Cosmos imaging url (not for the colour gradient program!!),,,,,,,,,,,,
317570,149.58645,1.769332,3.84106,Subaru (Mosaics),V,B,Ishbel,"Smooth decrease for both,  wee kink near outer in percentages but mostly constant",http://zoo-hst.s3.amazonaws.com/20026983.jpg,"For people doing the image analysis, Im making this spreadsheet as a way to keep tabs on what everyone has done. Just put your name in the processed column and the filters and experiments you used. Please save the graphs in a folder under the object ID so its easy to keep tabs on things. Thanks!",,,,,,,,,,,
348646,149.691796,1.818196,5.09433,Subaru (Mosaics),V,B,Ishbel,"Constant ish blue, decreasing red",http://zoo-hst.s3.amazonaws.com/20038920.jpg,,,,,,,,,,,,
936196,149.767656,2.719143,5.49352,Subaru (Mosaics),V,B,Ishbel,R>B however near edge B increases,http://zoo-hst.s3.amazonaws.com/20182709.jpg,,,,,,,,,,,,
343337,149.807896,1.810425,4.91649,Subaru (Mosaics),V,B,Ishbel,The point wasn't on an object ,http://zoo-hst.s3.amazonaws.com/20046131.jpg,,,,,,,,,,,,
348345,149.834723,1.817641,3.45851,Subaru (Mosaics),V,B,Ishbel,Both decrease,http://zoo-hst.s3.amazonaws.com/20045324.jpg,,,,,,,,,,,,
911899,149.890549,2.682386,4.99962,Subaru (Mosaics),V,B,Ishbel,Decrease as radius increases,http://zoo-hst.s3.amazonaws.com/20048716.jpg,,,,,,,,,,,,
829342,149.910655,2.554647,4.30458,Subaru (Mosaics),V,B,Ishbel,"Smooth decrease for both, blue has higher 20% near center and then decreases to 10% ",http://zoo-hst.s3.amazonaws.com/20177485.jpg,,,,,,,,,,,,
922130,149.930632,2.699445,4.50447,Subaru (Mosaics),V,B,Ishbel,"Both decrease as radius increases, and perhaps show a star burst region",http://zoo-hst.s3.amazonaws.com/20179910.jpg,,,,,,,,,,,,
298256,149.937424,1.738907,4.22294,Subaru (Mosaics),V,B,Ishbel,"Both decrease as radius increases, perhaps showing a star burst region",http://zoo-hst.s3.amazonaws.com/20010754.jpg,,,,,,,,,,,,
880457,150.00464,2.632771,4.3685,Subaru (Mosaics),V,B,Ishbel,Same weird kink as before,http://zoo-hst.s3.amazonaws.com/20010751.jpg,,,,,,,,,,,,
884940,150.034292,2.641139,4.00503,Subaru (Mosaics),V,B,Ishbel,"General trend of decreasing as the radius increases, red is higher than blue throughout by same amount.",http://zoo-hst.s3.amazonaws.com/20023503.jpg,,,,,,,,,,,,
309063,150.044022,1.756738,3.73591,Subaru (Mosaics),V,B,Ishbel,"ALmost a straight line decrease. Weird kink again,  could be from over estimating radius so measuring general background.",http://zoo-hst.s3.amazonaws.com/20179964.jpg,,,,,,,,,,,,
890018,150.060644,2.647977,5.11696,Subaru (Mosaics),V,B,Ishbel,Bluer center and redder further out!! Both decrease with radius,http://zoo-hst.s3.amazonaws.com/20152100.jpg,,,,,,,,,,,,
342587,150.222731,1.807163,4.13627,Subaru (Mosaics),V,B,Ishbel,"General trend of decreasing as the radius increases, red is higher than blue throughout by same amount.",http://zoo-hst.s3.amazonaws.com/20016046.jpg,,,,,,,,,,,,
317720,150.22836,1.767279,4.47487,Subaru (Mosaics),V,B,Ishbel,Almost constant percentages through out,http://zoo-hst.s3.amazonaws.com/20170298.jpg ,Image looks really blue. ALmost like a merger,,,,,,,,,,,
316931,150.24255,1.766383,4.91807,Subaru (Mosaics),V,B,Ishbel,Redder through out,http://zoo-hst.s3.amazonaws.com/20016854.jpg,,,,,,,,,,,,
301078,150.280011,1.743833,3.77385,Subaru (Mosaics),V,B,Ishbel,Becomes % wise a lot redder moving further out,http://zoo-hst.s3.amazonaws.com/20181138.jpg,,,,,,,,,,,,
900827,150.402281,2.667365,5.77574,Subaru (Mosaics),V,B,Ishbel,Bluer center and redder further out!! Both decrease with radius,http://zoo-hst.s3.amazonaws.com/20010877.jpg,,,,,,,,,,,,
342090,150.756721,1.806852,37.30685,Subaru (Mosaics),V,B,Ishbel,"General trend of decreasing as the radius increases, red is higher than blue throughout by same amount.",http://zoo-hst.s3.amazonaws.com/20183263.jpg,,,,,,,,,,,,
914962,150.603671,2.686562,5.82056,Subaru (Mosaics),V,B,Josh,"Does look very blue, has a bump half way out but no significant blue band",http://zoo-hst.s3.amazonaws.com/20166322.jpg,,,,,,,,,,,,
1011872,149.50862,2.840288,29.48294,Subaru (Mosaics),V,B,Josh,"very small, no obvious star forming region",http://zoo-hst.s3.amazonaws.com/20199857.jpg,,,,,,,,,,,,
423348,150.607116,1.935088,5.8956,Subaru (Mosaics),V,B,Josh,Center pixel is dimmer than the region immediately outside,http://zoo-hst.s3.amazonaws.com/20028010.jpg,,,,,,,,,,,,
533239,150.046645,2.10814,4.3542,Subaru (Mosaics),V,B,Josh,"smooth downward trend, nothing special. Has  a constant emission immediately outside the core",http://zoo-hst.s3.amazonaws.com/20066960.jpg,,,,,,,,,,,,
729517,150.28775,2.404382,4.25226,Subaru (Mosaics),V,B,Josh,"smooth downward trend, nothing special",http://zoo-hst.s3.amazonaws.com/20114770.jpg,,,,,,,,,,,,
809167,150.624618,2.540308,7.73407,Subaru (Mosaics),V,B,Josh,"Brighter region around core, higher blue percentage in this region",http://zoo-hst.s3.amazonaws.com/20137650.jpg,Looked at the cosmos image and appears to have a secondary source behind the disk,,,,,,,,,,,
810765,150.122074,2.525805,5.26499,Subaru (Mosaics),V,B,Josh,"Smooth downward trend, percentage blue gets higher for a region half way through disk",http://zoo-hst.s3.amazonaws.com/20149728.jpg,,,,,,,,,,,,
450055,149.738388,1.97877,4.64445,Subaru (Mosaics),V,B,Josh,"Smooth downward trend, red percent gets bigger",http://zoo-hst.s3.amazonaws.com/20072723.jpg,,,,,,,,,,,,
